timestamp,service_name,cpu_utilization,memory_utilization,network_throughput,latency_ms,pod_count,node_count
2026-07-31T07:19:09.234745,frontend-service,23.68,34.99,2409.2,71.41,3,5
2026-07-31T07:19:09.234745,database-service,49.72,70.81,796.74,10.57,3,5
2026-07-31T07:19:12.322145,payment-service,54.31,55.95,1191.87,71.13,3,5
2026-07-31T07:19:12.322145,auth-service,29.93,39.56,588.71,13.73,3,5
2026-07-31T07:19:12.322145,frontend-service,23.88,34.21,2402.29,71.34,3,5
2026-07-31T07:19:12.322145,database-service,49.84,69.51,813.71,9.25,3,5
2026-07-31T07:19:15.461066,payment-service,57.81,54.21,1196.1,85.77,3,5
2026-07-31T07:19:15.461066,auth-service,28.89,39.65,587.76,15.2,3,5
2026-07-31T07:19:15.461066,frontend-service,24.38,34.22,2395.39,70.3,3,5
2026-07-31T07:19:15.461066,database-service,49.94,70.1,781.5,8.71,3,5
2026-07-31T07:19:18.585668,payment-service,63.12,55.44,1185.45,95.86,3,5
2026-07-31T07:19:18.585668,auth-service,29.55,40.08,619.99,15.92,3,5
2026-07-31T07:19:18.585668,frontend-service,23.75,34.94,2407.42,69.2,3,5
2026-07-31T07:19:18.585668,database-service,50.85,70.23,819.98,9.31,3,5
2026-07-31T07:19:21.723158,payment-service,67.15,55.34,1195.05,111.0,3,5
2026-07-31T07:19:21.723158,auth-service,30.37,40.1,605.28,16.34,3,5
2026-07-31T07:19:21.723158,frontend-service,24.36,34.81,2383.33,69.2,3,5
2026-07-31T07:19:21.723158,database-service,51.07,69.06,785.62,9.62,3,5
2026-07-31T07:19:24.844037,payment-service,72.01,54.33,1194.15,124.34,3,5
2026-07-31T07:19:24.844037,auth-service,30.73,40.83,597.09,13.54,3,5
2026-07-31T07:19:24.844037,frontend-service,23.89,34.63,2384.61,70.13,3,5
2026-07-31T07:19:24.844037,database-service,50.6,70.12,814.65,9.64,3,5
2026-07-31T07:19:27.948336,payment-service,76.67,55.5,1209.82,140.36,3,5
2026-07-31T07:19:27.948336,auth-service,30.8,39.09,619.18,16.1,3,5
2026-07-31T07:19:27.948336,frontend-service,23.86,35.33,2389.76,70.66,3,5
2026-07-31T07:19:27.948336,database-service,48.87,70.15,808.85,9.08,3,5
2026-07-31T07:19:31.081152,payment-service,80.92,55.28,1189.74,153.99,3,5
2026-07-31T07:19:31.081152,auth-service,28.59,39.56,587.73,14.93,3,5
2026-07-31T07:19:31.081152,frontend-service,26.41,34.55,2383.66,69.17,3,5
2026-07-31T07:19:31.081152,database-service,50.44,69.5,784.68,9.67,3,5
2026-07-31T07:19:34.210434,payment-service,85.41,55.36,1218.02,165.13,3,5
2026-07-31T07:19:34.210434,auth-service,30.18,40.62,611.43,14.13,3,5
2026-07-31T07:19:34.210434,frontend-service,25.67,35.65,2383.27,71.1,3,5
2026-07-31T07:19:34.210434,database-service,51.02,69.54,781.02,8.81,3,5
2026-07-31T07:19:37.332088,payment-service,90.0,55.35,1196.59,185.26,3,5
2026-07-31T07:19:37.332088,auth-service,30.75,40.66,606.62,16.36,3,5
2026-07-31T07:19:37.332088,frontend-service,23.96,34.0,2407.41,68.51,3,5
2026-07-31T07:19:37.332088,database-service,48.5,69.84,794.72,9.37,3,5
2026-07-31T07:19:40.457508,payment-service,27.7,54.54,1193.83,26.8,5,5
2026-07-31T07:19:40.457508,auth-service,28.81,40.28,616.84,14.57,3,5
2026-07-31T07:19:40.457508,frontend-service,23.74,35.28,2383.3,68.64,3,5
2026-07-31T07:19:40.457508,database-service,48.69,69.31,795.92,9.32,3,5
2026-07-31T07:19:43.554382,payment-service,26.94,55.67,1180.57,27.81,5,5
2026-07-31T07:19:43.554382,auth-service,29.83,39.36,594.49,15.18,3,5
2026-07-31T07:19:43.554382,frontend-service,24.17,35.01,2417.0,68.96,3,5
2026-07-31T07:19:43.554382,database-service,49.44,69.2,818.78,10.72,3,5
2026-07-31T07:19:46.661989,payment-service,27.28,55.65,1194.01,26.7,5,5
2026-07-31T07:19:46.661989,auth-service,28.72,40.49,589.2,16.09,3,5
2026-07-31T07:19:46.661989,frontend-service,24.29,34.5,2411.27,70.91,3,5
2026-07-31T07:19:46.661989,database-service,49.63,70.77,781.11,10.86,3,5
2026-07-31T07:19:49.779935,payment-service,26.19,55.48,1183.97,27.31,5,5
2026-07-31T07:19:49.779935,auth-service,30.2,39.8,581.19,14.23,3,5
2026-07-31T07:19:49.779935,frontend-service,24.62,35.3,2390.61,71.3,3,5
2026-07-31T07:19:49.779935,database-service,50.74,70.81,794.14,10.24,3,5
2026-07-31T07:28:19.426699,payment-service,45.01,55.9,1202.3,45.78,3,5
2026-07-31T07:28:19.426699,auth-service,29.02,39.88,614.44,15.48,2,5
2026-07-31T07:28:54.073728,payment-service,43.82,54.06,1219.82,45.98,3,5
2026-07-31T07:28:54.073728,auth-service,29.2,40.49,605.88,16.01,2,5
2026-07-31T07:28:54.073728,frontend-service,26.13,34.05,2402.27,71.04,3,5
2026-07-31T07:28:54.073728,database-service,48.7,69.42,796.86,9.55,1,5
2026-07-31T07:29:13.395220,payment-service,44.69,55.99,1181.5,45.18,3,5
2026-07-31T07:29:13.395220,auth-service,30.01,40.92,582.47,13.75,2,5
2026-07-31T07:29:13.395220,frontend-service,25.72,35.01,2386.59,71.38,3,5
2026-07-31T07:29:13.395220,database-service,49.28,70.16,819.72,9.37,1,5
2026-07-31T07:29:32.749633,payment-service,46.06,54.04,1192.22,44.65,3,5
2026-07-31T07:29:32.749633,auth-service,30.83,40.03,586.28,16.42,2,5
2026-07-31T07:29:32.749633,frontend-service,25.03,35.56,2385.54,68.53,3,5
2026-07-31T07:29:32.749633,database-service,49.42,69.0,792.31,9.12,1,5
2026-07-31T07:29:52.136057,payment-service,45.46,54.13,1208.27,44.23,3,5
2026-07-31T07:29:52.136057,auth-service,30.99,39.14,583.66,13.73,2,5
2026-07-31T07:29:52.136057,frontend-service,23.91,34.88,2415.26,69.37,3,5
2026-07-31T07:29:52.136057,database-service,51.43,70.04,807.7,9.15,1,5
2026-07-31T07:30:39.016334,payment-service,46.44,55.99,1181.92,46.0,3,5
2026-07-31T07:30:39.016334,auth-service,30.42,40.82,586.51,16.02,2,5
2026-07-31T07:30:39.016334,frontend-service,24.41,34.57,2385.62,70.73,3,5
2026-07-31T07:30:39.016334,database-service,49.23,69.21,808.37,8.51,1,5
2026-07-31T07:30:58.377444,payment-service,43.98,54.47,1212.57,44.26,3,5
2026-07-31T07:30:58.377444,auth-service,29.21,39.36,592.97,15.72,2,5
2026-07-31T07:30:58.377444,frontend-service,24.57,35.52,2388.82,70.77,3,5
2026-07-31T07:30:58.377444,database-service,50.93,69.64,819.43,10.47,1,5
2026-07-31T07:31:17.702623,payment-service,43.92,54.65,1185.24,45.39,3,5
2026-07-31T07:34:18.158800,payment-service,43.82,55.77,1193.49,45.99,3,5
2026-07-31T07:34:18.158800,auth-service,30.78,40.37,618.87,15.6,2,5
2026-07-31T07:34:18.158800,frontend-service,26.39,34.17,2405.31,71.37,3,5
2026-07-31T07:34:18.158800,database-service,50.86,69.96,817.17,11.28,1,5
2026-07-31T07:34:37.554847,payment-service,45.55,54.06,1196.18,45.65,3,5
2026-07-31T07:34:37.554847,auth-service,30.59,39.7,599.08,16.42,2,5
2026-07-31T07:34:37.554847,frontend-service,26.5,34.57,2416.79,69.02,3,5
2026-07-31T07:34:37.554847,database-service,49.45,69.4,812.88,9.15,1,5
2026-07-31T07:34:56.905135,payment-service,43.9,55.49,1190.2,45.08,3,5
2026-07-31T07:34:56.905135,auth-service,29.06,39.85,599.89,14.02,2,5
2026-07-31T07:34:56.905135,frontend-service,23.85,34.29,2392.42,70.42,3,5
2026-07-31T07:34:56.905135,database-service,48.9,70.93,808.84,10.98,1,5
2026-07-31T07:35:16.267541,payment-service,46.07,55.97,1198.94,46.01,3,5
2026-07-31T07:35:16.267541,auth-service,30.73,40.32,587.85,15.04,2,5
2026-07-31T07:35:16.267541,frontend-service,23.99,35.89,2417.58,70.11,3,5
2026-07-31T07:35:16.267541,database-service,51.49,70.43,790.25,8.82,1,5
